idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,lat,lng,location
10411,Monossido di Carbonio,mg/m³,1263,Villa di Serio v. Glera,280.0,BG,Villa di Serio,S,2008-10-07T00:00:00.000,2011-09-12T00:00:00.000,5064969,557447,45.727881,9.738481,POINT (9.738481 45.727881)
5568,Biossido di Azoto,µg/m³,565,Cantù v.Meucci,369.0,CO,Cantù,N,1994-02-15T00:00:00.000,,5064150,509783,45.73083728,9.12573936,POINT (9.12573936 45.73083728)
6689,Monossido di Carbonio,mg/m³,642,Pavia v. Folperti,77.0,PV,Pavia,S,2002-06-01T00:00:00.000,2012-01-04T00:00:00.000,5004590,512932,45.19468231,9.16464919,POINT (9.16464919 45.19468231)
20104,Particelle sospese PM2.5,µg/m³,592,Treviglio p.zza Insurrezione,191.0,BG,Treviglio,N,2015-03-01T00:00:00.000,,5040815,546236,45.51933533,9.59201917,POINT (9.59201917 45.51933533)
20154,Ozono,µg/m³,690,Mezzana Bigli loc. Casoni,73.0,PV,Mezzana Bigli,N,2013-11-20T00:00:00.000,,4990697,489679,45.06966728,8.86890217,POINT (8.86890217 45.06966728)
10096,Benzene,µg/m³,697,Borgofranco sul Po loc. Bonizzo,14.0,MN,Borgofranco sul Po,S,2006-11-29T00:00:00.000,2018-01-01T00:00:00.000,4990430,671752,45.04650286,11.18094889,POINT (11.18094889 45.04650286)
9888,Monossido di Carbonio,mg/m³,583,Bergamo v.Meucci,249.0,BG,Bergamo,S,2005-03-11T00:00:00.000,2023-01-01T00:00:00.000,5059922,550116,45.69104328,9.64366092,POINT (9.64366092 45.69104328)
9854,Monossido di Carbonio,mg/m³,672,Cornale v.Libertà,74.0,PV,Cornale,N,2005-07-29T00:00:00.000,,4987406,493238,45.04008561,8.91415717,POINT (8.91415717 45.04008561)
10129,Ossidi di Azoto,µg/m³,700,Melara v. dell'Artigianato,12.0,RO,Melara,S,2006-11-29T00:00:00.000,,4992347,673928,45.06321458,11.20922257,POINT (11.20922257 45.06321458)
5508,Biossido di Azoto,µg/m³,505,Legnano v.Diaz,199.0,MI,Legnano,S,1990-01-10T00:00:00.000,2018-07-30T00:00:00.000,5049180,493668,45.595389,8.922039,POINT (8.922039 45.595389)
6005,Benzene,µg/m³,627,Cremona P.zza Cadorna,39.0,CR,Cremona,N,2002-05-16T00:00:00.000,,4998110,579872,45.13195042,10.01574064,POINT (10.01574064 45.13195042)
20591,BlackCarbon,µg/m³,574,Lecco v. Amendola,214.0,LC,Lecco,N,2023-05-08T00:00:00.000,,5077479,530713,45.85019631,9.39558125,POINT (9.39558125 45.85019631)
9831,PM10 (SM2005),µg/m³,670,Mantova S.Agnese,22.0,MN,Mantova,N,2004-12-30T00:00:00.000,,5002356,641122,45.16057658,10.79557331,POINT (10.79557331 45.16057658)
20924,BlackCarbon,µg/m³,560,Varese v.Copelli,383.0,VA,Varese,N,2025-07-16T00:00:00.000,,5073728,486035,45.8169745,8.82024911,POINT (8.82024911 45.8169745)
17083,Nikel,ng/m³,569,Sondrio v.Mazzini,307.0,SO,Sondrio,S,2008-04-01T00:00:00.000,2011-12-26T00:00:00.000,5113078,567173,46.16797103,9.87014581,POINT (9.87014581 46.16797103)
6604,Particolato Totale Sospeso,µg/m³,589,Nembro v.Locatelli,309.0,BG,Nembro,S,1991-06-05T00:00:00.000,2005-06-13T00:00:00.000,5065779,559162,45.74304147,9.76054592,POINT (9.76054592 45.74304147)
6230,Ossidi di Azoto,µg/m³,565,Cantù v.Meucci,369.0,CO,Cantù,N,1994-07-01T00:00:00.000,,5064150,509783,45.73083728,9.12573936,POINT (9.12573936 45.73083728)
30162,Ossidi di Azoto,µg/m³,669,Brescia Villaggio Sereno,70.0,BS,Brescia,N,2013-01-22T00:00:00.000,,5040636,593101,45.51306214,10.19190606,POINT (10.19190606 45.51306214)
20566,PM10 (SM2005),µg/m³,626,Corte de' Cortesi con Cignone v. Villa Strada Forca,57.0,CR,Corte de' Cortesi con Cignone,N,2022-11-18T00:00:00.000,,5014380,578919,45.27848997,10.00620528,POINT (10.00620528 45.27848997)
5532,Biossido di Azoto,µg/m³,529,Cinisello Balsamo v.Lincoln,149.0,MI,Cinisello Balsamo,N,1988-11-24T00:00:00.000,,5044335,517778,45.55232831,9.22776572,POINT (9.22776572 45.55232831)
5807,Monossido di Carbonio,mg/m³,576,Merate v. Madonna di Loreto,279.0,LC,Merate,S,1991-12-24T00:00:00.000,2018-01-01T00:00:00.000,5060569,531623,45.69795956,9.40619194,POINT (9.40619194 45.69795956)
5836,Monossido di Carbonio,mg/m³,538,Settimo Milanese v. Della Libertà,132.0,MI,Settimo Milanese,S,1992-07-28T00:00:00.000,2011-07-14T00:00:00.000,5036306,504444,45.48027247,9.05686386,POINT (9.05686386 45.48027247)
12685,Arsenico,ng/m³,633,Soresina v. Landriani,70.0,CR,Soresina,N,2008-04-01T00:00:00.000,,5014860,567712,45.28398,9.86340258,POINT (9.86340258 45.28398)
6426,Ossidi di Azoto,µg/m³,631,Piadena v. Cavour,30.0,CR,Piadena,S,2002-02-16T00:00:00.000,2018-07-30T00:00:00.000,4998295,608506,45.12979431,10.37983739,POINT (10.37983739 45.12979431)
12639,Cadmio,ng/m³,548,Milano v.Senato,118.0,MI,Milano,N,2008-07-09T00:00:00.000,,5035238,515435,45.470501,9.19746075,POINT (9.19746075 45.470501)
6853,Biossido di Zolfo,µg/m³,660,Ospitaletto v. XXV aprile,155.0,BS,Ospitaletto,S,1990-02-16T00:00:00.000,2003-09-16T00:00:00.000,5044985,584681,45.55325867,10.08492175,POINT (10.08492175 45.55325867)
6715,Biossido di Azoto,µg/m³,644,Vigevano v.Petrarca,107.0,PV,Vigevano,S,2004-01-24T00:00:00.000,2012-02-02T00:00:00.000,5019220,489053,45.32640825,8.86031156,POINT (8.86031156 45.32640825)
20496,PM10 (SM2005),µg/m³,1801,Brescia v.Tartaglia,151.0,BS,Brescia,N,2020-12-08T00:00:00.000,,5043948,594556,45.54264789,10.21120522,POINT (10.21120522 45.54264789)
5647,Biossido di Zolfo,µg/m³,528,Milano Verziere,116.0,MI,Milano,S,1988-12-07T00:00:00.000,2004-03-01T00:00:00.000,5034443,515270,45.46334886,9.19532511,POINT (9.19532511 45.46334886)
6306,Ossidi di Azoto,µg/m³,518,Galliate strada del Piaggio,153.0,NO,Galliate,S,1992-12-07T00:00:00.000,2017-01-01T00:00:00.000,5034980,479423,45.489564,8.737792,POINT (8.737792 45.489564)
10077,PM10 (SM2005),µg/m³,694,Salionze v. Campagna Rossa,109.0,VR,Salionze,S,2006-11-29T00:00:00.000,,5029205,635124,45.40331803,10.72660167,POINT (10.72660167 45.40331803)
