giorno,ATS,NO2_mean_ugm3,PM10_SM2005_mean_ugm3,PM25_mean_ugm3
2024-04-08,ATS_Bergamo,-19.906481481481478,37.625,26.4
2024-04-08,ATS_Montagna,-53.172568578553616,-744.0,-1235.375
2024-04-09,ATS_Bergamo,21.925925925925927,41.0,27.8
2024-04-09,ATS_Montagna,23.205882352941178,32.61538461538461,22.0
2024-04-10,ATS_Bergamo,-28.36157407407407,8.125,5.4
2024-04-10,ATS_Montagna,20.827764127764127,8.083333333333334,5.75
2024-04-11,ATS_Bergamo,-23.620833333333334,18.75,13.2
2024-04-11,ATS_Montagna,20.360092807424596,16.714285714285715,11.666666666666666
2024-04-12,ATS_Bergamo,-20.881481481481483,26.0,18.0
2024-04-12,ATS_Montagna,-1.25939675174014,25.571428571428573,13.0
2024-04-13,ATS_Bergamo,22.39166666666667,31.875,20.6
2024-04-13,ATS_Montagna,19.5525462962963,27.5,17.11111111111111
2024-04-14,ATS_Bergamo,17.41898148148148,23.875,16.6
2024-04-14,ATS_Montagna,16.147685185185185,21.642857142857142,13.88888888888889
2024-04-15,ATS_Bergamo,19.375462962962963,22.0,10.2
2024-04-15,ATS_Montagna,-47.089814814814815,-691.2142857142857,-1099.4444444444443
2024-04-16,ATS_Bergamo,-31.770370370370372,18.25,13.0
2024-04-16,ATS_Montagna,-31.663170163170165,-699.7857142857143,-1103.3333333333333
2024-04-17,ATS_Bergamo,16.376851851851853,10.625,6.6
2024-04-17,ATS_Montagna,-79.03167848699763,10.357142857142858,-1245.25
2024-04-18,ATS_Bergamo,18.624537037037037,10.375,-1994.0
2024-04-18,ATS_Montagna,-55.133254156769596,9.142857142857142,-2217.3333333333335
2024-04-19,ATS_Bergamo,21.81527777777778,12.0,9.4
2024-04-19,ATS_Montagna,-25.58285714285714,12.285714285714286,-2216.6666666666665
2024-04-20,ATS_Bergamo,13.830555555555556,11.5,9.8
2024-04-20,ATS_Montagna,14.998529411764705,9.071428571428571,-2217.6666666666665
2024-04-21,ATS_Bergamo,9.799537037037036,7.5,5.8
2024-04-21,ATS_Montagna,10.740355329949239,6.769230769230769,-2218.1111111111113
2024-04-22,ATS_Bergamo,-28.86388888888889,6.25,4.6
2024-04-22,ATS_Montagna,-62.95026041666666,-709.2857142857143,-2218.0
2024-04-23,ATS_Bergamo,19.8125,10.375,9.8
2024-04-23,ATS_Montagna,-130.7170854271357,-703.9285714285714,-2213.8888888888887
2024-04-24,ATS_Bergamo,19.12314814814815,13.375,10.0
2024-04-24,ATS_Montagna,-3.658571428571429,11.357142857142858,9.88888888888889
2024-04-25,ATS_Bergamo,11.849537037037036,10.75,9.8
2024-04-25,ATS_Montagna,13.186574074074075,8.142857142857142,-1104.888888888889
2024-04-26,ATS_Bergamo,13.6,12.0,10.2
2024-04-26,ATS_Montagna,-177.28313253012047,11.0,7.75
2024-04-27,ATS_Bergamo,11.26574074074074,11.0,9.0
2024-04-27,ATS_Montagna,-574.7541666666667,11.384615384615385,7.125
2024-04-28,ATS_Bergamo,11.16851851851852,14.375,10.6
2024-04-28,ATS_Montagna,-574.5149509803922,13.461538461538462,7.125
2024-04-29,ATS_Bergamo,16.946296296296296,-1408.0,-2491.5
2024-04-29,ATS_Montagna,-618.9797169811321,-692.2857142857143,-1103.3333333333333
2024-04-30,ATS_Bergamo,19.3875,-1226.625,-1989.0
2024-04-30,ATS_Montagna,-584.5560185185185,24.214285714285715,9.444444444444445
2024-05-01,ATS_Bergamo,12.872685185185185,21.5,13.8
2024-05-01,ATS_Montagna,-564.2921296296297,19.357142857142858,11.88888888888889
2024-05-02,ATS_Bergamo,12.260185185185184,7.5,4.2
2024-05-02,ATS_Montagna,-402.4490740740741,7.214285714285714,3.888888888888889
