giorno,ATS,nometiposensore,valore_medio
2024-02-23,ATS_Bergamo,PM10 (SM2005),7.0
2024-02-23,ATS_Bergamo,Particelle sospese PM2.5,-1993.6
2024-02-23,ATS_Montagna,Biossido di Azoto,-0.7784313725490191
2024-02-23,ATS_Montagna,PM10 (SM2005),11.307692307692308
2024-02-23,ATS_Montagna,Particelle sospese PM2.5,-1242.875
2024-02-24,ATS_Bergamo,Biossido di Azoto,23.17361111111111
2024-02-24,ATS_Bergamo,PM10 (SM2005),13.5
2024-02-24,ATS_Bergamo,Particelle sospese PM2.5,9.2
2024-02-24,ATS_Montagna,Biossido di Azoto,20.673417721518987
2024-02-24,ATS_Montagna,PM10 (SM2005),8.666666666666666
2024-02-24,ATS_Montagna,Particelle sospese PM2.5,6.571428571428571
2024-02-25,ATS_Bergamo,Biossido di Azoto,21.270833333333332
2024-02-25,ATS_Bergamo,PM10 (SM2005),11.125
2024-02-25,ATS_Bergamo,Particelle sospese PM2.5,8.4
2024-02-25,ATS_Montagna,Biossido di Azoto,18.822916666666668
2024-02-25,ATS_Montagna,PM10 (SM2005),-759.0
2024-02-25,ATS_Montagna,Particelle sospese PM2.5,-1243.5
2024-02-26,ATS_Bergamo,Biossido di Azoto,22.70925925925926
2024-02-26,ATS_Bergamo,PM10 (SM2005),8.5
2024-02-26,ATS_Bergamo,Particelle sospese PM2.5,6.8
2024-02-26,ATS_Montagna,Biossido di Azoto,-103.97254408060454
2024-02-26,ATS_Montagna,PM10 (SM2005),11.583333333333334
2024-02-26,ATS_Montagna,Particelle sospese PM2.5,6.142857142857143
2024-02-27,ATS_Bergamo,Biossido di Azoto,31.2875
2024-02-27,ATS_Bergamo,PM10 (SM2005),8.375
2024-02-27,ATS_Bergamo,Particelle sospese PM2.5,7.6
2024-02-27,ATS_Montagna,Biossido di Azoto,19.052450980392155
2024-02-27,ATS_Montagna,PM10 (SM2005),8.615384615384615
2024-02-27,ATS_Montagna,Particelle sospese PM2.5,-2494.875
2024-02-28,ATS_Bergamo,Biossido di Azoto,29.587962962962962
2024-02-28,ATS_Bergamo,PM10 (SM2005),11.75
2024-02-28,ATS_Bergamo,Particelle sospese PM2.5,8.8
2024-02-28,ATS_Montagna,Biossido di Azoto,25.93186274509804
2024-02-28,ATS_Montagna,PM10 (SM2005),14.384615384615385
2024-02-28,ATS_Montagna,Particelle sospese PM2.5,9.75
2024-02-29,ATS_Bergamo,Biossido di Azoto,33.488425925925924
2024-02-29,ATS_Bergamo,PM10 (SM2005),25.0
2024-02-29,ATS_Bergamo,Particelle sospese PM2.5,-1987.0
2024-02-29,ATS_Montagna,Biossido di Azoto,-21.352450980392156
2024-02-29,ATS_Montagna,PM10 (SM2005),27.23076923076923
2024-02-29,ATS_Montagna,Particelle sospese PM2.5,13.25
2024-03-01,ATS_Bergamo,Biossido di Azoto,29.96666666666667
2024-03-01,ATS_Bergamo,PM10 (SM2005),13.75
2024-03-01,ATS_Bergamo,Particelle sospese PM2.5,10.75
2024-03-01,ATS_Montagna,Biossido di Azoto,0.3600490196078431
2024-03-01,ATS_Montagna,PM10 (SM2005),15.153846153846153
2024-03-01,ATS_Montagna,Particelle sospese PM2.5,9.25
2024-03-02,ATS_Bergamo,Biossido di Azoto,23.244907407407407
2024-03-02,ATS_Bergamo,PM10 (SM2005),11.75
2024-03-02,ATS_Bergamo,Particelle sospese PM2.5,9.4
2024-03-02,ATS_Montagna,Biossido di Azoto,20.511029411764707
2024-03-02,ATS_Montagna,PM10 (SM2005),-757.8461538461538
2024-03-02,ATS_Montagna,Particelle sospese PM2.5,8.0
2024-03-03,ATS_Bergamo,Biossido di Azoto,15.52037037037037
2024-03-03,ATS_Bergamo,PM10 (SM2005),8.875
2024-03-03,ATS_Bergamo,Particelle sospese PM2.5,6.0
2024-03-03,ATS_Montagna,Biossido di Azoto,13.154411764705882
2024-03-03,ATS_Montagna,PM10 (SM2005),9.307692307692308
2024-03-03,ATS_Montagna,Particelle sospese PM2.5,5.625
2024-03-04,ATS_Bergamo,Biossido di Azoto,-67.49305555555556
2024-03-04,ATS_Bergamo,PM10 (SM2005),13.75
2024-03-04,ATS_Bergamo,Particelle sospese PM2.5,10.0
2024-03-04,ATS_Montagna,Biossido di Azoto,-22.198529411764707
2024-03-04,ATS_Montagna,PM10 (SM2005),15.307692307692308
2024-03-04,ATS_Montagna,Particelle sospese PM2.5,10.25
2024-03-05,ATS_Bergamo,Biossido di Azoto,-64.0625
2024-03-05,ATS_Bergamo,PM10 (SM2005),19.125
2024-03-05,ATS_Bergamo,Particelle sospese PM2.5,13.2
2024-03-05,ATS_Montagna,Biossido di Azoto,4.694117647058825
2024-03-05,ATS_Montagna,PM10 (SM2005),20.307692307692307
2024-03-05,ATS_Montagna,Particelle sospese PM2.5,13.125
2024-03-06,ATS_Bergamo,Biossido di Azoto,22.522685185185182
2024-03-06,ATS_Bergamo,PM10 (SM2005),11.625
2024-03-06,ATS_Bergamo,Particelle sospese PM2.5,9.2
2024-03-06,ATS_Montagna,Biossido di Azoto,-1.6794117647058833
2024-03-06,ATS_Montagna,PM10 (SM2005),12.615384615384615
2024-03-06,ATS_Montagna,Particelle sospese PM2.5,-2491.5
2024-03-07,ATS_Bergamo,Biossido di Azoto,25.038888888888888
2024-03-07,ATS_Bergamo,PM10 (SM2005),22.875
2024-03-07,ATS_Bergamo,Particelle sospese PM2.5,19.4
2024-03-07,ATS_Montagna,Biossido di Azoto,23.654901960784315
2024-03-07,ATS_Montagna,PM10 (SM2005),16.46153846153846
2024-03-07,ATS_Montagna,Particelle sospese PM2.5,10.875
2024-03-08,ATS_Bergamo,Biossido di Azoto,19.28055555555556
2024-03-08,ATS_Bergamo,PM10 (SM2005),22.875
2024-03-08,ATS_Bergamo,Particelle sospese PM2.5,17.0
2024-03-08,ATS_Montagna,Biossido di Azoto,21.16741293532338
2024-03-08,ATS_Montagna,PM10 (SM2005),21.076923076923077
2024-03-08,ATS_Montagna,Particelle sospese PM2.5,14.125
2024-03-09,ATS_Bergamo,Biossido di Azoto,17.53009259259259
