codice_dusaf,macro_cat,area_km2
3221,Boschi e zone naturali,0.023398561550683483
333,Boschi e zone naturali,0.004633990176019611
3211,Boschi e zone naturali,0.010570834699031835
3221,Boschi e zone naturali,0.003721180037107726
3221,Boschi e zone naturali,0.004287904939049021
3221,Boschi e zone naturali,0.00896460167238148
332,Boschi e zone naturali,0.009769908772317643
333,Boschi e zone naturali,0.010480722440027061
333,Boschi e zone naturali,0.002070596019567393
3122,Boschi e zone naturali,0.06303414470570282
332,Boschi e zone naturali,0.03416353161855863
333,Boschi e zone naturali,0.06269913011739536
1422,Altre superfici artificiali,0.0028504103231970198
2312,Agricola,0.004102973492411906
2311,Agricola,0.24529663942378216
3242,Boschi e zone naturali,0.004950815903550904
2312,Agricola,0.015361450916710305
2311,Agricola,0.006343680431304962
3222,Boschi e zone naturali,0.016297551233428523
3241,Boschi e zone naturali,0.0038802148526752376
2312,Agricola,0.03364732957027517
2311,Agricola,0.039062082583206856
3221,Boschi e zone naturali,0.16690453623290566
3212,Boschi e zone naturali,0.3168185507087839
3211,Boschi e zone naturali,0.006279724654776074
333,Boschi e zone naturali,0.003683431354550638
333,Boschi e zone naturali,0.009643662571946545
332,Boschi e zone naturali,0.03274578659269528
3221,Boschi e zone naturali,0.017980011484074226
3122,Boschi e zone naturali,0.0052537838147485505
3122,Boschi e zone naturali,0.005130319188752397
332,Boschi e zone naturali,0.0364703516085344
331,Boschi e zone naturali,0.019742091765480002
3241,Boschi e zone naturali,0.05874962166381591
2312,Agricola,0.017069159321385557
3241,Boschi e zone naturali,0.004162753253369412
3241,Boschi e zone naturali,0.0017834425146329208
2311,Agricola,0.008601304444981802
3241,Boschi e zone naturali,0.030910176898762187
3241,Boschi e zone naturali,0.10456053426523541
2312,Agricola,0.010834004049699955
2311,Agricola,0.003013420063420726
3122,Boschi e zone naturali,0.008749508164236811
2312,Agricola,0.01277747646594798
2311,Agricola,0.055718794353264
2311,Agricola,0.008623402097837947
12112,Industriale / Commerciale / Infrastrutture,0.0038651352522084156
2311,Agricola,0.0026090112925677023
3241,Boschi e zone naturali,0.026509940839362433
3121,Boschi e zone naturali,2.4503868215549094
3122,Boschi e zone naturali,0.018790113958044523
333,Boschi e zone naturali,0.006805457247368002
3121,Boschi e zone naturali,0.006849994565277176
3221,Boschi e zone naturali,0.009731729285653053
3241,Boschi e zone naturali,0.00663788035215239
333,Boschi e zone naturali,0.002281638780529063
3221,Boschi e zone naturali,0.28164539918574616
332,Boschi e zone naturali,0.015660215102969815
333,Boschi e zone naturali,0.005636690719475081
3241,Boschi e zone naturali,0.013364559303387154
332,Boschi e zone naturali,0.0038731907006170326
3121,Boschi e zone naturali,0.011116277446189355
2311,Agricola,0.028993982669787415
3241,Boschi e zone naturali,0.0024170543332056984
3212,Boschi e zone naturali,0.008094741083473701
3122,Boschi e zone naturali,0.040773716210722545
2312,Agricola,0.022898050847209684
3121,Boschi e zone naturali,0.009214937855960252
2311,Agricola,0.008530736696914764
3122,Boschi e zone naturali,0.006270913872949041
3122,Boschi e zone naturali,0.0353001646432228
3221,Boschi e zone naturali,0.0021922327217432625
332,Boschi e zone naturali,0.0025048349346682825
3241,Boschi e zone naturali,0.012685075583014535
3121,Boschi e zone naturali,0.018562334242683977
333,Boschi e zone naturali,0.004337500741189407
333,Boschi e zone naturali,0.0032970431774490385
3211,Boschi e zone naturali,0.004750771575977637
3122,Boschi e zone naturali,0.0062158540567360575
3211,Boschi e zone naturali,0.5409257896651217
333,Boschi e zone naturali,0.0023847318803669132
3211,Boschi e zone naturali,0.0035113466255930316
3212,Boschi e zone naturali,0.10109895819465976
3211,Boschi e zone naturali,0.0033580223735024234
332,Boschi e zone naturali,0.0029598490752794668
333,Boschi e zone naturali,0.011845462444566022
333,Boschi e zone naturali,0.006479361380054082
3211,Boschi e zone naturali,0.018025540294857784
332,Boschi e zone naturali,0.005900887039373145
333,Boschi e zone naturali,0.003643923414064199
333,Boschi e zone naturali,0.00649590322146685
333,Boschi e zone naturali,0.0019425274767147758
3122,Boschi e zone naturali,0.01508057410688866
2311,Agricola,0.006157400308344493
333,Boschi e zone naturali,0.0023918896882426303
3122,Boschi e zone naturali,0.006855518839533131
3241,Boschi e zone naturali,0.012166936596534885
3212,Boschi e zone naturali,0.022846162113451727
2311,Agricola,0.005909565371729913
3211,Boschi e zone naturali,0.023563189171563886
3122,Boschi e zone naturali,0.010459641348034721
2311,Agricola,0.005887291035715317
3122,Boschi e zone naturali,0.004925129914311172
3121,Boschi e zone naturali,0.15778919630961527
3212,Boschi e zone naturali,0.0022421403881767634
3211,Boschi e zone naturali,0.004939134621750551
3221,Boschi e zone naturali,0.020713664848669492
3241,Boschi e zone naturali,0.022800582187282068
3221,Boschi e zone naturali,0.006788126463386556
3211,Boschi e zone naturali,0.03236245982498222
332,Boschi e zone naturali,0.002543465075072241
3241,Boschi e zone naturali,0.1565054806833803
333,Boschi e zone naturali,0.006550029820785997
333,Boschi e zone naturali,0.002842601547401931
5121,Corpi idrici,0.005071046167469754
332,Boschi e zone naturali,0.011139017572312216
333,Boschi e zone naturali,0.0017440727859871195
333,Boschi e zone naturali,0.03732288195888205
332,Boschi e zone naturali,0.03347328497982308
333,Boschi e zone naturali,0.06686079293754697
332,Boschi e zone naturali,0.007356519456576321
3221,Boschi e zone naturali,0.01611293162238132
3211,Boschi e zone naturali,0.033780572043056636
3212,Boschi e zone naturali,0.05982731237461456
3212,Boschi e zone naturali,0.011711525255354021
332,Boschi e zone naturali,0.005454671696249647
3221,Boschi e zone naturali,0.019611472126856763
333,Boschi e zone naturali,0.004185971815951597
332,Boschi e zone naturali,0.001992958225428711
333,Boschi e zone naturali,0.0046322178930843965
332,Boschi e zone naturali,0.003956875959098073
333,Boschi e zone naturali,0.0022621475754797883
3212,Boschi e zone naturali,0.01171943280095891
3122,Boschi e zone naturali,0.028928626978679515
2311,Agricola,0.02851979285246233
3211,Boschi e zone naturali,0.4458795784139919
333,Boschi e zone naturali,0.009659718707621463
2312,Agricola,0.009024363807889912
3212,Boschi e zone naturali,0.011168440817616832
3122,Boschi e zone naturali,0.008678554699308042
333,Boschi e zone naturali,0.002959627090422729
333,Boschi e zone naturali,0.0031282937419727604
2311,Agricola,0.01734009057157958
3122,Boschi e zone naturali,0.07845625739669948
3241,Boschi e zone naturali,0.012795905190810032
333,Boschi e zone naturali,0.0031982827096211494
3211,Boschi e zone naturali,0.049002592594237844
2311,Agricola,0.0020444352735543726
3241,Boschi e zone naturali,0.01585775361603757
332,Boschi e zone naturali,0.019065793767978987
333,Boschi e zone naturali,0.003323147335172534
3212,Boschi e zone naturali,0.035692942463965004
3211,Boschi e zone naturali,0.022060130899990853
3221,Boschi e zone naturali,0.19528495018167624
332,Boschi e zone naturali,0.06369927737063351
3211,Boschi e zone naturali,0.011851659905531133
332,Boschi e zone naturali,0.017798449551009503
3211,Boschi e zone naturali,0.010778540391295655
3241,Boschi e zone naturali,0.0544501001723763
3211,Boschi e zone naturali,0.012730354516442728
3211,Boschi e zone naturali,0.015666867879336615
3241,Boschi e zone naturali,0.0060215273499227605
3211,Boschi e zone naturali,9.105573304339644e-05
333,Boschi e zone naturali,0.36157345863267426
333,Boschi e zone naturali,0.008930832671844262
3212,Boschi e zone naturali,0.023051737853509866
2311,Agricola,0.016591751343357705
333,Boschi e zone naturali,0.003419762985359658
2311,Agricola,0.005621988696828427
2312,Agricola,0.05156988680525624
