idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop
100136,Biossido di Azoto,µg/m³,100046,NO2 Castiglione Olona,VA,Castiglione Olona,N         ,2011-01-01T00:00:00.000,
100137,Ozono,µg/m³,100046,O3 Castiglione Olona,VA,Castiglione Olona,N         ,2011-01-01T00:00:00.000,
100138,PM10,µg/m³,100046,PM10 Castiglione Olona,VA,Castiglione Olona,N         ,2011-01-01T00:00:00.000,
100139,Biossido di Azoto,µg/m³,100047,NO2 Castronno,VA,Castronno,N         ,2011-01-01T00:00:00.000,
100140,Ozono,µg/m³,100047,O3 Castronno,VA,Castronno,N         ,2011-01-01T00:00:00.000,
100141,PM10,µg/m³,100047,PM10 Castronno,VA,Castronno,N         ,2011-01-01T00:00:00.000,
100142,Biossido di Azoto,µg/m³,100048,NO2 Cavaria con Premezzo,VA,Cavaria con Premezzo,N         ,2011-01-01T00:00:00.000,
100143,Ozono,µg/m³,100048,O3 Cavaria con Premezzo,VA,Cavaria con Premezzo,N         ,2011-01-01T00:00:00.000,
100144,PM10,µg/m³,100048,PM10 Cavaria con Premezzo,VA,Cavaria con Premezzo,N         ,2011-01-01T00:00:00.000,
100145,Biossido di Azoto,µg/m³,100049,NO2 Cazzago Brabbia,VA,Cazzago Brabbia,N         ,2011-01-01T00:00:00.000,
100146,Ozono,µg/m³,100049,O3 Cazzago Brabbia,VA,Cazzago Brabbia,N         ,2011-01-01T00:00:00.000,
100147,PM10,µg/m³,100049,PM10 Cazzago Brabbia,VA,Cazzago Brabbia,N         ,2011-01-01T00:00:00.000,
100148,Biossido di Azoto,µg/m³,100050,NO2 Cislago,VA,Cislago,N         ,2011-01-01T00:00:00.000,
100149,Ozono,µg/m³,100050,O3 Cislago,VA,Cislago,N         ,2011-01-01T00:00:00.000,
100150,PM10,µg/m³,100050,PM10 Cislago,VA,Cislago,N         ,2011-01-01T00:00:00.000,
100151,Biossido di Azoto,µg/m³,100051,NO2 Cittiglio,VA,Cittiglio,N         ,2011-01-01T00:00:00.000,
100152,Ozono,µg/m³,100051,O3 Cittiglio,VA,Cittiglio,N         ,2011-01-01T00:00:00.000,
100153,PM10,µg/m³,100051,PM10 Cittiglio,VA,Cittiglio,N         ,2011-01-01T00:00:00.000,
100154,Biossido di Azoto,µg/m³,100052,NO2 Clivio,VA,Clivio,N         ,2011-01-01T00:00:00.000,
100155,Ozono,µg/m³,100052,O3 Clivio,VA,Clivio,N         ,2011-01-01T00:00:00.000,
100156,PM10,µg/m³,100052,PM10 Clivio,VA,Clivio,N         ,2011-01-01T00:00:00.000,
100157,Biossido di Azoto,µg/m³,100053,NO2 Cocquio-Trevisago,VA,Cocquio-Trevisago,N         ,2011-01-01T00:00:00.000,
100158,Ozono,µg/m³,100053,O3 Cocquio-Trevisago,VA,Cocquio-Trevisago,N         ,2011-01-01T00:00:00.000,
100159,PM10,µg/m³,100053,PM10 Cocquio-Trevisago,VA,Cocquio-Trevisago,N         ,2011-01-01T00:00:00.000,
100160,Biossido di Azoto,µg/m³,100054,NO2 Comabbio,VA,Comabbio,N         ,2011-01-01T00:00:00.000,
100161,Ozono,µg/m³,100054,O3 Comabbio,VA,Comabbio,N         ,2011-01-01T00:00:00.000,
100162,PM10,µg/m³,100054,PM10 Comabbio,VA,Comabbio,N         ,2011-01-01T00:00:00.000,
100163,Biossido di Azoto,µg/m³,100055,NO2 Comerio,VA,Comerio,N         ,2011-01-01T00:00:00.000,
100164,Ozono,µg/m³,100055,O3 Comerio,VA,Comerio,N         ,2011-01-01T00:00:00.000,
100165,PM10,µg/m³,100055,PM10 Comerio,VA,Comerio,N         ,2011-01-01T00:00:00.000,
100166,Biossido di Azoto,µg/m³,100056,NO2 Cremenaga,VA,Cremenaga,N         ,2011-01-01T00:00:00.000,
100167,Ozono,µg/m³,100056,O3 Cremenaga,VA,Cremenaga,N         ,2011-01-01T00:00:00.000,
100168,PM10,µg/m³,100056,PM10 Cremenaga,VA,Cremenaga,N         ,2011-01-01T00:00:00.000,
100169,Biossido di Azoto,µg/m³,100057,NO2 Crosio della Valle,VA,Crosio della Valle,N         ,2011-01-01T00:00:00.000,
100170,Ozono,µg/m³,100057,O3 Crosio della Valle,VA,Crosio della Valle,N         ,2011-01-01T00:00:00.000,
100171,PM10,µg/m³,100057,PM10 Crosio della Valle,VA,Crosio della Valle,N         ,2011-01-01T00:00:00.000,
100172,Biossido di Azoto,µg/m³,100058,NO2 Cuasso al Monte,VA,Cuasso al Monte,N         ,2011-01-01T00:00:00.000,
100173,Ozono,µg/m³,100058,O3 Cuasso al Monte,VA,Cuasso al Monte,N         ,2011-01-01T00:00:00.000,
100174,PM10,µg/m³,100058,PM10 Cuasso al Monte,VA,Cuasso al Monte,N         ,2011-01-01T00:00:00.000,
100175,Biossido di Azoto,µg/m³,100059,NO2 Cugliate-Fabiasco,VA,Cugliate-Fabiasco,N         ,2011-01-01T00:00:00.000,
100176,Ozono,µg/m³,100059,O3 Cugliate-Fabiasco,VA,Cugliate-Fabiasco,N         ,2011-01-01T00:00:00.000,
100177,PM10,µg/m³,100059,PM10 Cugliate-Fabiasco,VA,Cugliate-Fabiasco,N         ,2011-01-01T00:00:00.000,
100178,Biossido di Azoto,µg/m³,100060,NO2 Cunardo,VA,Cunardo,N         ,2011-01-01T00:00:00.000,
100179,Ozono,µg/m³,100060,O3 Cunardo,VA,Cunardo,N         ,2011-01-01T00:00:00.000,
100180,PM10,µg/m³,100060,PM10 Cunardo,VA,Cunardo,N         ,2011-01-01T00:00:00.000,
100181,Biossido di Azoto,µg/m³,100061,NO2 Curiglia con Monteviasco,VA,Curiglia con Monteviasco,N         ,2011-01-01T00:00:00.000,
100182,Ozono,µg/m³,100061,O3 Curiglia con Monteviasco,VA,Curiglia con Monteviasco,N         ,2011-01-01T00:00:00.000,
100183,PM10,µg/m³,100061,PM10 Curiglia con Monteviasco,VA,Curiglia con Monteviasco,N         ,2011-01-01T00:00:00.000,
100184,Biossido di Azoto,µg/m³,100062,NO2 Cuveglio,VA,Cuveglio,N         ,2011-01-01T00:00:00.000,
100185,Ozono,µg/m³,100062,O3 Cuveglio,VA,Cuveglio,N         ,2011-01-01T00:00:00.000,
100186,PM10,µg/m³,100062,PM10 Cuveglio,VA,Cuveglio,N         ,2011-01-01T00:00:00.000,
100187,Biossido di Azoto,µg/m³,100063,NO2 Cuvio,VA,Cuvio,N         ,2011-01-01T00:00:00.000,
100188,Ozono,µg/m³,100063,O3 Cuvio,VA,Cuvio,N         ,2011-01-01T00:00:00.000,
100189,PM10,µg/m³,100063,PM10 Cuvio,VA,Cuvio,N         ,2011-01-01T00:00:00.000,
100190,Biossido di Azoto,µg/m³,100064,NO2 Daverio,VA,Daverio,N         ,2011-01-01T00:00:00.000,
100191,Ozono,µg/m³,100064,O3 Daverio,VA,Daverio,N         ,2011-01-01T00:00:00.000,
100192,PM10,µg/m³,100064,PM10 Daverio,VA,Daverio,N         ,2011-01-01T00:00:00.000,
100193,Biossido di Azoto,µg/m³,100065,NO2 Dumenza,VA,Dumenza,N         ,2011-01-01T00:00:00.000,
100194,Ozono,µg/m³,100065,O3 Dumenza,VA,Dumenza,N         ,2011-01-01T00:00:00.000,
100195,PM10,µg/m³,100065,PM10 Dumenza,VA,Dumenza,N         ,2011-01-01T00:00:00.000,
100196,Biossido di Azoto,µg/m³,100066,NO2 Duno,VA,Duno,N         ,2011-01-01T00:00:00.000,
100197,Ozono,µg/m³,100066,O3 Duno,VA,Duno,N         ,2011-01-01T00:00:00.000,
100198,PM10,µg/m³,100066,PM10 Duno,VA,Duno,N         ,2011-01-01T00:00:00.000,
100199,Biossido di Azoto,µg/m³,100067,NO2 Fagnano Olona,VA,Fagnano Olona,N         ,2011-01-01T00:00:00.000,
100200,Ozono,µg/m³,100067,O3 Fagnano Olona,VA,Fagnano Olona,N         ,2011-01-01T00:00:00.000,
100201,PM10,µg/m³,100067,PM10 Fagnano Olona,VA,Fagnano Olona,N         ,2011-01-01T00:00:00.000,
100202,Biossido di Azoto,µg/m³,100068,NO2 Ferno,VA,Ferno,N         ,2011-01-01T00:00:00.000,
100203,Ozono,µg/m³,100068,O3 Ferno,VA,Ferno,N         ,2011-01-01T00:00:00.000,
100204,PM10,µg/m³,100068,PM10 Ferno,VA,Ferno,N         ,2011-01-01T00:00:00.000,
100205,Biossido di Azoto,µg/m³,100069,NO2 Ferrera di Varese,VA,Ferrera di Varese,N         ,2011-01-01T00:00:00.000,
100206,Ozono,µg/m³,100069,O3 Ferrera di Varese,VA,Ferrera di Varese,N         ,2011-01-01T00:00:00.000,
100207,PM10,µg/m³,100069,PM10 Ferrera di Varese,VA,Ferrera di Varese,N         ,2011-01-01T00:00:00.000,
100208,Biossido di Azoto,µg/m³,100070,NO2 Gallarate,VA,Gallarate,N         ,2011-01-01T00:00:00.000,
100209,Ozono,µg/m³,100070,O3 Gallarate,VA,Gallarate,N         ,2011-01-01T00:00:00.000,
100210,PM10,µg/m³,100070,PM10 Gallarate,VA,Gallarate,N         ,2011-01-01T00:00:00.000,
100211,Biossido di Azoto,µg/m³,100071,NO2 Galliate Lombardo,VA,Galliate Lombardo,N         ,2011-01-01T00:00:00.000,
100212,Ozono,µg/m³,100071,O3 Galliate Lombardo,VA,Galliate Lombardo,N         ,2011-01-01T00:00:00.000,
100213,PM10,µg/m³,100071,PM10 Galliate Lombardo,VA,Galliate Lombardo,N         ,2011-01-01T00:00:00.000,
100214,Biossido di Azoto,µg/m³,100072,NO2 Gavirate,VA,Gavirate,N         ,2011-01-01T00:00:00.000,
100215,Ozono,µg/m³,100072,O3 Gavirate,VA,Gavirate,N         ,2011-01-01T00:00:00.000,
100216,PM10,µg/m³,100072,PM10 Gavirate,VA,Gavirate,N         ,2011-01-01T00:00:00.000,
100217,Biossido di Azoto,µg/m³,100073,NO2 Gazzada Schianno,VA,Gazzada Schianno,N         ,2011-01-01T00:00:00.000,
