anno_label,parametro,provincia,comune,giorni_presenti,giorni_attesi,completezza_pct
2025-2026,PM10,SO,Castione Andevenno,405,511,79.3
2025-2026,PM10,BG,Castione Della Presolana,469,511,91.8
2025-2026,PM10,BG,Castro,469,511,91.8
2025-2026,PM10,MB,Cavenago Di Brianza,395,511,77.3
2025-2026,PM10,BG,Cavernago,468,511,91.6
2025-2026,PM10,BG,Cazzano Sant'Andrea,393,511,76.9
2025-2026,PM10,BS,Cedegolo,399,511,78.1
2025-2026,PM10,SO,Cedrasco,407,511,79.6
2025-2026,PM10,BG,Cenate Sopra,470,511,92.0
2025-2026,PM10,BG,Cenate Sotto,468,511,91.6
2025-2026,PM10,BG,Cene,396,511,77.5
2025-2026,PM10,SO,Cercino,407,511,79.6
2025-2026,PM10,BG,Cerete,468,511,91.6
2025-2026,PM10,MB,Ceriano Laghetto,394,511,77.1
2025-2026,PM10,LC,Cernusco Lombardone,413,511,80.8
2025-2026,PM10,BS,Cerveno,402,511,78.7
2025-2026,PM10,LC,Cesana Brianza,413,511,80.8
2025-2026,PM10,MB,Cesano Maderno,394,511,77.1
2025-2026,PM10,BS,Ceto,400,511,78.3
2025-2026,PM10,BS,Cevo,465,511,91.0
2025-2026,PM10,SO,Chiavenna,411,511,80.4
2025-2026,PM10,SO,Chiesa In Valmalenco,469,511,91.8
2025-2026,PM10,BG,Chignolo D'Isola,470,511,92.0
2025-2026,PM10,BG,Chiuduno,471,511,92.2
2025-2026,PM10,SO,Chiuro,406,511,79.5
2025-2026,PM10,BS,Cimbergo,466,511,91.2
2025-2026,PM10,SO,Cino,411,511,80.4
2025-2026,PM10,BG,Cisano Bergamasco,469,511,91.8
2025-2026,PM10,BG,Ciserano,469,511,91.8
2025-2026,PM10,LC,Civate,412,511,80.6
2025-2026,PM10,BG,Cividate Al Piano,468,511,91.6
2025-2026,PM10,BS,Cividate Camuno,401,511,78.5
2025-2026,PM10,SO,Civo,470,511,92.0
2025-2026,PM10,BG,Clusone,394,511,77.1
2025-2026,PM10,MB,Cogliate,393,511,76.9
2025-2026,PM10,BG,Colere,468,511,91.6
2025-2026,PM10,LC,Colico,413,511,80.8
2025-2026,PM10,LC,Colle Brianza,412,511,80.6
2025-2026,PM10,BG,Cologno Al Serio,471,511,92.2
2025-2026,PM10,SO,Colorina,408,511,79.8
2025-2026,PM10,BG,Colzate,400,511,78.3
2025-2026,PM10,BG,Comun Nuovo,469,511,91.8
2025-2026,PM10,MB,Concorezzo,393,511,76.9
2025-2026,PM10,BG,Corna Imagna,404,511,79.1
2025-2026,PM10,BG,Cornalba,466,511,91.2
2025-2026,PM10,MB,Cornate D'Adda,408,511,79.8
2025-2026,PM10,MB,Correzzana,394,511,77.1
2025-2026,PM10,BS,Corteno Golgi,465,511,91.0
2025-2026,PM10,LC,Cortenova,418,511,81.8
2025-2026,PM10,BG,Cortenuova,469,511,91.8
2025-2026,PM10,SO,Cosio Valtellino,409,511,80.0
2025-2026,PM10,BG,Costa Di Mezzate,469,511,91.8
