idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop,comune_norm
105716,Particelle sospese PM2.5,µg/m³,100687,PM2.5 Ranica,BG,Ranica,N         ,2016-01-01T00:00:00.000,,Ranica
105717,Particelle sospese PM2.5,µg/m³,100688,PM2.5 Ranzanico,BG,Ranzanico,N         ,2016-01-01T00:00:00.000,,Ranzanico
105718,Particelle sospese PM2.5,µg/m³,100689,PM2.5 Riva di Solto,BG,Riva di Solto,N         ,2016-01-01T00:00:00.000,,Riva Di Solto
105719,Particelle sospese PM2.5,µg/m³,100690,PM2.5 Rogno,BG,Rogno,N         ,2016-01-01T00:00:00.000,,Rogno
105720,Particelle sospese PM2.5,µg/m³,100690,PM2.5 Urbanizzato Rogno,BG,Rogno,N         ,2016-01-01T00:00:00.000,,Rogno
105721,Particelle sospese PM2.5,µg/m³,100691,PM2.5 Romano di Lombardia,BG,Romano di Lombardia,N         ,2016-01-01T00:00:00.000,,Romano Di Lombardia
105722,Particelle sospese PM2.5,µg/m³,100692,PM2.5 Roncobello,BG,Roncobello,N         ,2016-01-01T00:00:00.000,,Roncobello
105723,Particelle sospese PM2.5,µg/m³,100693,PM2.5 Roncola,BG,Roncola,N         ,2016-01-01T00:00:00.000,,Roncola
105724,Particelle sospese PM2.5,µg/m³,100694,PM2.5 Rota d'Imagna,BG,Rota d'Imagna,N         ,2016-01-01T00:00:00.000,,Rota D'Imagna
105725,Particelle sospese PM2.5,µg/m³,100694,PM2.5 Urbanizzato Rota d'Imagna,BG,Rota d'Imagna,N         ,2016-01-01T00:00:00.000,,Rota D'Imagna
105726,Particelle sospese PM2.5,µg/m³,100695,PM2.5 Rovetta,BG,Rovetta,N         ,2016-01-01T00:00:00.000,,Rovetta
105727,Particelle sospese PM2.5,µg/m³,100696,PM2.5 San Giovanni Bianco,BG,San Giovanni Bianco,N         ,2016-01-01T00:00:00.000,,San Giovanni Bianco
105728,Particelle sospese PM2.5,µg/m³,100696,PM2.5 Urbanizzato San Giovanni Bianco,BG,San Giovanni Bianco,N         ,2016-01-01T00:00:00.000,,San Giovanni Bianco
