giorno,ATS,parametro,valore_medio,n_misure
2021-02-17,ATS_Montagna,PM10,51.0,7
2021-02-17,ATS_Montagna,PM25,36.33,3
2021-02-18,ATS_Bergamo,NO2,41.37,215
2021-02-18,ATS_Bergamo,PM10,83.71,7
2021-02-18,ATS_Bergamo,PM25,67.0,5
2021-02-18,ATS_Montagna,NO2,33.72,192
2021-02-18,ATS_Montagna,PM10,84.14,7
2021-02-18,ATS_Montagna,PM25,62.67,3
2021-02-19,ATS_Bergamo,NO2,46.88,216
2021-02-19,ATS_Bergamo,PM10,67.0,8
2021-02-19,ATS_Bergamo,PM25,50.6,5
2021-02-19,ATS_Montagna,NO2,32.74,192
2021-02-19,ATS_Montagna,PM10,78.43,7
2021-02-19,ATS_Montagna,PM25,58.67,3
2021-02-20,ATS_Bergamo,NO2,43.02,216
2021-02-20,ATS_Bergamo,PM10,77.75,8
2021-02-20,ATS_Bergamo,PM25,59.0,5
2021-02-20,ATS_Montagna,NO2,28.87,192
2021-02-20,ATS_Montagna,PM10,68.86,7
2021-02-20,ATS_Montagna,PM25,47.0,3
2021-02-21,ATS_Bergamo,NO2,28.2,216
2021-02-21,ATS_Bergamo,PM10,65.0,8
2021-02-21,ATS_Bergamo,PM25,52.0,5
2021-02-21,ATS_Montagna,NO2,22.78,184
2021-02-21,ATS_Montagna,PM10,72.43,7
2021-02-21,ATS_Montagna,PM25,52.33,3
2021-02-22,ATS_Bergamo,NO2,32.16,216
2021-02-22,ATS_Bergamo,PM10,63.38,8
2021-02-22,ATS_Bergamo,PM25,47.6,5
2021-02-22,ATS_Montagna,NO2,30.73,152
2021-02-22,ATS_Montagna,PM10,70.86,7
2021-02-22,ATS_Montagna,PM25,49.67,3
2021-02-23,ATS_Bergamo,NO2,45.44,216
2021-02-23,ATS_Bergamo,PM10,77.0,8
2021-02-23,ATS_Bergamo,PM25,54.0,5
2021-02-23,ATS_Montagna,NO2,36.4,179
2021-02-23,ATS_Montagna,PM10,69.0,7
2021-02-23,ATS_Montagna,PM25,46.67,3
2021-02-24,ATS_Bergamo,NO2,44.43,205
2021-02-24,ATS_Bergamo,PM10,93.38,8
2021-02-24,ATS_Bergamo,PM25,51.8,5
2021-02-24,ATS_Montagna,NO2,38.51,191
2021-02-24,ATS_Montagna,PM10,84.57,7
2021-02-24,ATS_Montagna,PM25,43.0,3
2021-02-25,ATS_Bergamo,NO2,39.54,192
2021-02-25,ATS_Bergamo,PM10,92.88,8
2021-02-25,ATS_Bergamo,PM25,46.4,5
2021-02-25,ATS_Montagna,NO2,39.43,191
2021-02-25,ATS_Montagna,PM10,90.0,6
2021-02-25,ATS_Montagna,PM25,39.0,2
2021-02-26,ATS_Bergamo,NO2,42.0,202
2021-02-26,ATS_Bergamo,PM10,96.0,8
2021-02-26,ATS_Bergamo,PM25,44.4,5
2021-02-26,ATS_Montagna,NO2,41.82,192
2021-02-26,ATS_Montagna,PM10,105.83,6
2021-02-26,ATS_Montagna,PM25,42.5,2
2021-02-27,ATS_Bergamo,NO2,28.15,216
2021-02-27,ATS_Bergamo,PM10,74.62,8
2021-02-27,ATS_Bergamo,PM25,37.8,5
2021-02-27,ATS_Montagna,NO2,30.68,192
2021-02-27,ATS_Montagna,PM10,95.0,6
2021-02-27,ATS_Montagna,PM25,42.5,2
2021-02-28,ATS_Bergamo,NO2,15.32,216
2021-02-28,ATS_Bergamo,PM10,21.5,8
2021-02-28,ATS_Bergamo,PM25,13.2,5
2021-02-28,ATS_Montagna,NO2,18.13,192
2021-02-28,ATS_Montagna,PM10,23.5,6
2021-02-28,ATS_Montagna,PM25,10.5,2
2021-03-01,ATS_Bergamo,NO2,33.92,216
2021-03-01,ATS_Bergamo,PM10,38.5,8
2021-03-01,ATS_Bergamo,PM25,26.0,5
2021-03-01,ATS_Montagna,NO2,36.18,161
2021-03-01,ATS_Montagna,PM10,39.0,6
2021-03-01,ATS_Montagna,PM25,25.5,2
2021-03-02,ATS_Bergamo,NO2,37.34,214
2021-03-02,ATS_Bergamo,PM10,44.25,8
2021-03-02,ATS_Bergamo,PM25,31.4,5
2021-03-02,ATS_Montagna,NO2,42.96,144
2021-03-02,ATS_Montagna,PM10,45.43,7
2021-03-02,ATS_Montagna,PM25,28.67,3
2021-03-03,ATS_Bergamo,NO2,49.49,216
2021-03-03,ATS_Bergamo,PM10,66.88,8
2021-03-03,ATS_Bergamo,PM25,43.8,5
2021-03-03,ATS_Montagna,NO2,48.5,154
2021-03-03,ATS_Montagna,PM10,65.29,7
2021-03-03,ATS_Montagna,PM25,42.33,3
2021-03-04,ATS_Bergamo,NO2,38.44,216
2021-03-04,ATS_Bergamo,PM10,49.12,8
2021-03-04,ATS_Bergamo,PM25,31.2,5
2021-03-04,ATS_Montagna,NO2,42.05,176
2021-03-04,ATS_Montagna,PM10,60.0,7
2021-03-04,ATS_Montagna,PM25,37.67,3
2021-03-05,ATS_Bergamo,NO2,32.61,216
2021-03-05,ATS_Bergamo,PM10,49.38,8
2021-03-05,ATS_Bergamo,PM25,31.0,5
2021-03-05,ATS_Montagna,NO2,30.92,187
2021-03-05,ATS_Montagna,PM10,51.5,6
2021-03-05,ATS_Montagna,PM25,30.33,3
2021-03-06,ATS_Bergamo,NO2,16.43,216
2021-03-06,ATS_Bergamo,PM10,30.75,8
2021-03-06,ATS_Bergamo,PM25,19.6,5
