giorno,ATS,NO2_mean_ugm3,PM10_mean_ugm3,PM25_mean_ugm3
2021-05-15,ATS_Montagna,5.15,,
2021-05-16,ATS_Bergamo,16.24,7.92,3.8
2021-05-16,ATS_Montagna,6.02,,
2021-05-17,ATS_Bergamo,19.92,6.88,4.18
2021-05-17,ATS_Montagna,11.71,,
2021-05-18,ATS_Bergamo,24.17,11.1,6.79
2021-05-18,ATS_Montagna,17.72,,
2021-05-19,ATS_Bergamo,19.46,10.68,7.06
2021-05-19,ATS_Montagna,17.06,,
2021-05-20,ATS_Bergamo,26.43,8.77,6.43
2021-05-20,ATS_Montagna,19.9,,
2021-05-21,ATS_Bergamo,25.82,17.58,10.11
2021-05-21,ATS_Montagna,19.28,18.0,13.0
2021-05-22,ATS_Bergamo,16.3,10.64,4.68
2021-05-22,ATS_Montagna,8.89,13.0,10.0
2021-05-23,ATS_Bergamo,16.28,12.5,7.4
2021-05-23,ATS_Montagna,7.36,9.0,6.0
2021-05-24,ATS_Bergamo,26.12,10.0,3.45
2021-05-24,ATS_Montagna,19.55,8.0,5.0
2021-05-25,ATS_Bergamo,23.09,9.13,5.12
2021-05-25,ATS_Montagna,14.29,3.0,1.0
2021-05-26,ATS_Bergamo,25.11,14.26,10.18
2021-05-26,ATS_Montagna,15.91,14.0,8.0
2021-05-27,ATS_Bergamo,26.84,20.45,12.91
2021-05-27,ATS_Montagna,17.37,,
2021-05-28,ATS_Bergamo,24.13,20.81,13.85
2021-05-28,ATS_Montagna,16.61,,
2021-05-29,ATS_Bergamo,19.98,18.11,11.26
2021-05-29,ATS_Montagna,11.55,16.0,14.0
2021-05-30,ATS_Bergamo,13.98,11.51,7.68
2021-05-30,ATS_Montagna,7.6,10.0,7.0
2021-05-31,ATS_Bergamo,18.54,15.14,10.14
2021-05-31,ATS_Montagna,10.81,16.0,12.0
2021-06-01,ATS_Bergamo,22.59,23.49,14.85
2021-06-01,ATS_Montagna,15.37,26.0,15.0
2021-06-02,ATS_Bergamo,16.94,17.69,10.93
2021-06-02,ATS_Montagna,9.85,21.0,13.0
2021-06-03,ATS_Bergamo,26.32,22.42,13.49
2021-06-03,ATS_Montagna,13.89,20.0,12.0
2021-06-04,ATS_Bergamo,28.0,22.97,13.73
2021-06-04,ATS_Montagna,14.82,,
2021-06-05,ATS_Bergamo,21.13,17.98,8.65
2021-06-06,ATS_Bergamo,13.98,13.86,7.99
2021-06-07,ATS_Bergamo,19.51,9.95,6.33
2021-06-07,ATS_Montagna,15.05,,
2021-06-08,ATS_Bergamo,19.34,9.88,4.41
2021-06-08,ATS_Montagna,12.01,,8.0
2021-06-09,ATS_Bergamo,20.42,11.57,6.24
2021-06-09,ATS_Montagna,15.41,,12.0
2021-06-10,ATS_Bergamo,23.66,14.59,10.92
2021-06-10,ATS_Montagna,14.74,19.0,14.0
2021-06-11,ATS_Bergamo,21.52,18.94,11.12
2021-06-11,ATS_Montagna,13.47,11.0,7.0
2021-06-12,ATS_Bergamo,21.18,19.07,13.94
2021-06-12,ATS_Montagna,12.95,20.0,14.0
2021-06-13,ATS_Bergamo,18.12,15.02,8.7
2021-06-13,ATS_Montagna,11.55,15.0,12.0
2021-06-14,ATS_Bergamo,20.92,23.24,14.92
