stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
22-23,ATS_Montagna,PM10,2023,16,W16/2023,29,134,4.7223,1.4142,2.3143,11.0286,5.0765,3.9173
23-24,ATS_Montagna,PM10,2023,40,W40/2023,1,134,8.0512,3.4616,2.2429,19.3714,8.5770,5.7158
23-24,ATS_Montagna,PM10,2023,41,W41/2023,2,134,7.0317,3.2913,2.1429,17.8143,7.5820,4.9654
23-24,ATS_Montagna,PM10,2023,42,W42/2023,3,134,4.9324,1.8775,1.2571,10.1286,5.3052,3.5650
23-24,ATS_Montagna,PM10,2023,43,W43/2023,4,134,2.6244,1.3472,1.0286,8.8143,3.0005,1.9935
23-24,ATS_Montagna,PM10,2023,44,W44/2023,5,134,2.9646,1.5989,0.9000,10.8714,3.5663,2.1164
23-24,ATS_Montagna,PM10,2023,45,W45/2023,6,134,4.3340,2.3988,1.3714,16.8429,5.2318,3.0945
23-24,ATS_Montagna,PM10,2023,46,W46/2023,7,134,4.6693,2.7898,1.6429,20.0286,5.7677,3.4686
23-24,ATS_Montagna,PM10,2023,47,W47/2023,8,134,5.0262,3.2264,2.1000,24.5857,6.2000,3.7651
23-24,ATS_Montagna,PM10,2023,48,W48/2023,9,134,5.6009,3.3831,1.1429,19.3571,6.8615,3.7331
23-24,ATS_Montagna,PM10,2023,49,W49/2023,10,134,8.1077,5.4336,1.1714,32.7286,10.1599,5.0849
23-24,ATS_Montagna,PM10,2023,50,W50/2023,11,134,6.3804,4.1536,1.5714,27.8857,7.9140,4.3163
23-24,ATS_Montagna,PM10,2023,51,W51/2023,12,134,6.5013,4.3574,1.8571,30.2571,8.0744,4.6810
23-24,ATS_Montagna,PM10,2023,52,W52/2023,13,134,10.7198,6.8737,1.9143,44.9571,12.9885,7.1283
23-24,ATS_Montagna,PM10,2024,1,W01/2024,14,134,5.2711,3.6131,0.8286,21.5857,6.5329,3.5929
23-24,ATS_Montagna,PM10,2024,2,W02/2024,15,134,10.5424,6.3100,2.0857,39.8143,12.2885,7.3158
23-24,ATS_Montagna,PM10,2024,3,W03/2024,16,134,7.8638,4.6409,1.9000,25.3714,9.3435,5.5427
