Variabile,Stagione_ILI,Lag,r_Pearson,p_Pearson,rho_Spearman,p_Spearman,N_punti
PM25,22-23,3,-0.09415990050685843,0.7192510687589914,0.17892156862745098,0.4920209629048917,17
PM25,22-23,4,-0.20604626127309417,0.4439140428761244,-0.3235294117647059,0.22157412500124282,16
PM25,22-23,5,-0.1513575268698664,0.5902537577037582,-0.2285714285714285,0.41256617049636035,15
PM25,22-23,6,-0.05116531541867586,0.8620963201405554,-0.02857142857142857,0.9227613765698747,14
PM25,22-23,7,0.13759978647305576,0.6539538400121946,0.027472527472527472,0.929011729160351,13
PM25,22-23,8,0.5118518690433951,0.08891540323874339,0.3356643356643357,0.28612290291498743,12
PM25,23-24,0,0.09263967690040373,0.6976771124224739,0.15569764169894001,0.5121570856256493,20
PM25,23-24,1,0.05895220670153764,0.8105400422144656,0.022817027207516397,0.926128737646566,19
PM25,23-24,2,-0.01690946026744397,0.9469043858119033,-0.026845641161433228,0.915790245587658,18
PM25,23-24,3,-0.17248029436943918,0.5079870647678166,-0.1213979382071141,0.6425518197364515,17
PM25,23-24,4,-0.31097561380389505,0.24105506545884767,-0.34289928341331405,0.19353772308038866,16
PM25,23-24,5,-0.3901216244011566,0.1505585391397673,-0.5326186219738229,0.04094385395337011,15
PM25,23-24,6,-0.3097774895695455,0.2811173408729617,-0.28602877594236253,0.3215102560711836,14
PM25,23-24,7,0.46739280768684704,0.10730181348778946,0.47867995765623467,0.0979614341879286,13
PM25,23-24,8,0.40237924609879927,0.19471540279162972,0.45534220441992507,0.1368824327726035,12
PM25,24-25,0,0.31700285689045876,0.17325202943529405,0.3587815221758184,0.12031512266004041,20
PM25,24-25,1,0.2346732596597171,0.33350974829807395,0.2536200331912399,0.2947735574020888,19
PM25,24-25,2,0.022525469752295066,0.9293066685587565,0.0640165289234177,0.8007636048738536,18
PM25,24-25,3,0.18943722761324866,0.46648502271406617,0.15328022500898245,0.5569750959176231,17
PM25,24-25,4,0.23974128255718963,0.3711507990300411,0.07799854944594697,0.7740180647858269,16
PM25,24-25,5,0.11318613753699397,0.6879543997853461,-0.1000894054715909,0.7226585968223203,15
PM25,24-25,6,0.19016044557184847,0.5149421143885549,-0.12981305985076452,0.6582643438354399,14
