STAGIONE,SETTIMANA,ORDINE,ILI_NORM,TEMP_lag2,HUMIDITY_lag1,PM25_lag1,PM10_lag1,NO2_lag1,ILI_NORM_lag1
24-25,15,20,4.004805766920304,14.266666666666666,49.152,15.093333333333334,23.402500000000003,31.206,4.361370716510903
25-26,50,3,10.032715376226827,5.963333333333334,93.228,31.713333333333335,37.135,42.29600000000001,9.363702096890817
25-26,51,4,10.379464285714286,8.205,83.89,38.76,48.894999999999996,51.761999999999986,10.032715376226827
25-26,52,5,9.828916470982891,8.094999999999999,93.254,31.856666666666666,37.7525,42.690000000000005,10.379464285714286
25-26,1,6,6.95703010815551,8.805,86.966,16.76,19.355,35.239999999999995,9.828916470982891
25-26,2,7,5.744996293550778,7.148333333333333,86.72999999999999,51.330000000000005,61.965,42.300000000000004,6.95703010815551
25-26,3,8,3.8095238095238098,3.293333333333333,71.41,34.52,41.6425,51.324,5.744996293550778
25-26,4,9,4.552652414885194,2.0183333333333335,84.81800000000001,41.38,48.2825,48.072,3.8095238095238098
25-26,5,10,3.5455585207777354,6.4316666666666675,82.20599999999999,33.71666666666667,41.0,44.768,4.552652414885194
25-26,6,11,4.570586067084408,4.3549999999999995,92.48400000000001,28.570000000000004,34.75,43.172000000000004,3.5455585207777354
25-26,7,12,4.092261904761905,5.653333333333332,93.292,24.143333333333334,27.5575,42.019999999999996,4.570586067084408
25-26,8,13,4.246823956442832,7.1066666666666665,86.36000000000001,19.523333333333333,24.964999999999996,40.386,4.092261904761905
25-26,9,14,3.0864197530864197,9.38,69.302,17.666666666666668,23.6725,41.907999999999994,4.246823956442832
25-26,10,15,3.2407407407407405,9.1,81.256,37.23666666666667,49.357499999999995,41.976,3.0864197530864197
25-26,11,16,3.397508493771234,11.601666666666667,79.58800000000001,39.95333333333333,52.57,37.88,3.2407407407407405
25-26,12,17,3.944402704733283,11.56,80.67999999999999,34.093333333333334,41.427499999999995,35.082,3.397508493771234
25-26,13,18,3.0359820089955023,12.056666666666665,48.690000000000005,14.43,20.177500000000002,30.564,3.944402704733283
25-26,14,19,4.081632653061225,12.473333333333331,38.297999999999995,12.42,19.36,34.480000000000004,3.0359820089955023
25-26,15,20,3.1206171107994387,12.548333333333334,31.208,10.556666666666667,19.75,32.854,4.081632653061225
